wet_temp,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
17.54028385,RUS,Russia,RUS.68_1,Tatarstan,Republic
8.234650523,SWE,Sweden,SWE.13_1,Skåne,County
7.336308194,SWE,Sweden,SWE.1_1,Blekinge,County
13.9548457,LTU,Lithuania,LTU.8_1,Telšiai,County
16.98618475,RUS,Russia,RUS.6_1,Bashkortostan,Republic
11.13483073,LTU,Lithuania,LTU.3_1,Klaipedos,County
15.95542219,LTU,Lithuania,LTU.6_1,Šiauliai,County
16.34802246,LTU,Lithuania,LTU.5_1,Panevezio,County
17.2523917,RUS,Russia,RUS.13_1,Chuvash,Republic
17.0633322,RUS,Russia,RUS.11_1,Chelyabinsk,Region
13.34246618,DNK,Denmark,DNK.1_1,Hovedstaden,Region
15.99367693,BLR,Belarus,BLR.6_1,Vitsyebsk,Region
9.599445051,DNK,Denmark,DNK.5_1,Syddanmark,Region
16.10074478,DNK,Denmark,DNK.4_1,Sjælland,Region
16.02018378,RUS,Russia,RUS.64_1,Smolensk,Region
17.05627114,RUS,Russia,RUS.43_1,Moscow City,City
5.994407517,GBR,United Kingdom,GBR.1_1,England,Kingdom
16.13575827,LTU,Lithuania,LTU.9_1,Utenos,County
15.71853672,LTU,Lithuania,LTU.7_1,Taurages,County
16.17693543,LTU,Lithuania,LTU.2_1,Kauno,County
15.98898253,LTU,Lithuania,LTU.10_1,Vilniaus,County
6.606933496,IRL,Ireland,IRL.5_1,Donegal,County
15.42826833,RUS,Russia,RUS.21_1,Kaliningrad,Region
16.46685285,RUS,Russia,RUS.23_1,Kaluga,Region
17.93167415,RUS,Russia,RUS.59_1,Ryazan',Region
18.46965053,KAZ,Kazakhstan,KAZ.7_1,North Kazakhstan,Region
14.16625958,RUS,Russia,RUS.29_1,Khakass,Republic
6.080900414,GBR,United Kingdom,GBR.2_1,Northern Ireland,Province
16.29924769,LTU,Lithuania,LTU.4_1,Marijampoles,County
17.42745803,RUS,Russia,RUS.42_1,Mordovia,Republic
15.90069601,BLR,Belarus,BLR.3_1,Hrodna,Region
16.26664542,BLR,Belarus,BLR.5_1,Minsk,Region
10.52940481,DEU,Germany,DEU.15_1,Schleswig-Holstein,State
