temp_difference,GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1
11.18120737,HND,Honduras,HND.8_1,Francisco Morazán,Department
7.17576043,NIC,Nicaragua,NIC.1_1,Atlántico Norte,Autonomous Region
8.0676498,CPV,Cape Verde,CPV.16_1,São Filipe,County
7.2080998,CPV,Cape Verde,CPV.10_1,Ribeira Grande de Santiago,County
14.73209337,SEN,Senegal,SEN.2_1,Diourbel,Region
13.20921228,SEN,Senegal,SEN.12_1,Tambacounda,Region
14.73625998,BFA,Burkina Faso,BFA.12_1,Sahel,Region
9.892341357,YEM,Yemen,YEM.17_1,Raymah,Governorate
12.06130453,YEM,Yemen,YEM.11_1,Dhamar,Governorate
8.425120396,MMR,Myanmar,MMR.14_1,Tanintharyi,Division
10.25299358,THA,Thailand,THA.66_1,Suphan Buri,Province
9.7833948,THA,Thailand,THA.63_1,Sing Buri,Province
10.51429995,THA,Thailand,THA.60_1,Saraburi,Province
11.9921,GTM,Guatemala,GTM.19_1,Sololá,Department
10.42733002,GTM,Guatemala,GTM.7_1,Guatemala,Department
10.05926802,GTM,Guatemala,GTM.10_1,Jalapa,Department
10.14062325,GTM,Guatemala,GTM.4_1,Chiquimula,Department
6.76898005,MTQ,Martinique,MTQ.3_1,Le Trinité,Arrondissement
10.00891495,SEN,Senegal,SEN.1_1,Dakar,Region
14.61905316,SEN,Senegal,SEN.4_1,Kaffrine,Region
17.01495879,SDN,Sudan,SDN.16_1,West Darfur,State
14.55383628,ETH,Ethiopia,ETH.11_1,Tigray,State
11.57949331,YEM,Yemen,YEM.3_1,Al Bayda',Governorate
9.71362995,THA,Thailand,THA.2_1,Ang Thong,Province
7.748459925,PHL,Philippines,PHL.10_1,Bataan,Province
8.4252849,PHL,Philippines,PHL.47_1,Metropolitan Manila,Province
7.437499833,PHL,Philippines,PHL.64_1,Rizal,Province
12.25550002,GTM,Guatemala,GTM.15_1,Retalhuleu,Department
12.0332165,GTM,Guatemala,GTM.20_1,Suchitepéquez,Department
11.3781004,GTM,Guatemala,GTM.16_1,Sacatepéquez,Department
9.89461802,HND,Honduras,HND.14_1,Ocotepeque,Department
11.17624165,HND,Honduras,HND.10_1,Intibucá,Department
6.7262402,MTQ,Martinique,MTQ.2_1,Le Marin,Arrondissement
12.95970441,SEN,Senegal,SEN.3_1,Fatick,Region
9.448762538,THA,Thailand,THA.46_1,Phra Nakhon Si Ayutthaya,Province
6.625128389,VNM,Vietnam,VNM.8_1,Bình Định,Province
11.69412002,GTM,Guatemala,GTM.6_1,Escuintla,Department
10.37050851,GTM,Guatemala,GTM.18_1,Santa Rosa,Department
11.15309991,GTM,Guatemala,GTM.11_1,Jutiapa,Department
11.18166006,SLV,El Salvador,SLV.12_1,Santa Ana,Department
9.377524347,NIC,Nicaragua,NIC.9_1,Jinotega,Department
14.51734003,SEN,Senegal,SEN.5_1,Kaolack,Region
13.57191342,NER,Niger,NER.3_1,Dosso,Department
14.91091667,TCD,Chad,TCD.10_1,Lac,Region
10.9430252,ETH,Ethiopia,ETH.2_1,Afar,State
11.50670058,YEM,Yemen,YEM.14_1,Ibb,Governorate
9.640668217,THA,Thailand,THA.26_1,Nakhon Nayok,Province
9.65377858,THA,Thailand,THA.49_1,Prachin Buri,Province
9.888901443,KHM,Cambodia,KHM.15_1,Otdar Mean Chey,Province
8.187064405,KHM,Cambodia,KHM.22_1,Stœng Trêng,Province
7.609124685,KHM,Cambodia,KHM.20_1,Rôtânôkiri,Province
7.562319557,VNM,Vietnam,VNM.21_1,Gia Lai,Province
7.7099651,PHL,Philippines,PHL.24_1,Cavite,Province
7.142209,PHL,Philippines,PHL.40_1,Laguna,Province
11.43211652,SLV,El Salvador,SLV.3_1,Chalatenango,Department
11.45637129,HND,Honduras,HND.12_1,La Paz,Department
10.85023335,HND,Honduras,HND.7_1,El Paraíso,Department
14.04967789,BFA,Burkina Faso,BFA.10_1,Nord,Region
15.57555839,TCD,Chad,TCD.17_1,Ouaddaï,Region
9.778806516,YEM,Yemen,YEM.2_1,Abyan,Governorate
9.232470025,THA,Thailand,THA.37_1,Pathum Thani,Province
9.279412072,KHM,Cambodia,KHM.18_1,Preah Vihéar,Province
7.262035033,PHL,Philippines,PHL.19_1,Camarines Norte,Province
