State_Code,State_Name,State_Type,Country_Code,Country_Name,Alt,Rain,pH,Temp_Min,Temp_Max,Texture,Fertility,Cycle
LBY.16_1,Murzuq,District,LBY,Libya,575.9907085,9.204413473,7.688461538461539,14.950741690000001,29.88735911,light,high,0.0
LBY.6_1,Al Kufrah,District,LBY,Libya,476.8846715,2.854744526,7.737500000000002,13.99347551,28.79022727,light,high,0.0
IND.24_1,Nagaland,State,IND,India,970.1034483,2001.706897,5.1,19.0686651495,28.8518449305,light,moderate,329
MEX.10_1,Durango,State,MEX,Mexico,1881.526448,645.720403,6.917142857142858,11.494739565000001,28.857404095,light,moderate,119
IND.19_1,Madhya Pradesh,State,IND,India,423.5081967,1056.73668,7.414285714285713,20.18973188,33.56749418,heavy,moderate,149
EGY.25_1,Qina,Governorate,EGY,Egypt,259.255814,1.88372093,7.399999999999999,13.65983262,29.08284196,light,moderate,0.0
BGD.6_1,Rangpur,Division,BGD,Bangladesh,39.98148148,2305.796296,6.5,23.597596355500002,33.4523704645,light,moderate,269
ESH.1_1,Boujdour,Province,ESH,Western Sahara,220.5724638,32.07246377,7.160000000000001,17.65447602,29.23594136,light,high,0.0
CHN.7_1,Guangxi,Autonomous Region,CHN,China,396.981457,1546.413245,5.709090909090908,21.770197918,29.249279442000002,light,moderate,365
IND.22_1,Meghalaya,State,IND,India,668.1549296,4081.605634,5.133333333333334,20.1700921785,29.0766318015,light,moderate,329
QAT.5_1,Ar Rayyan,Municipality,QAT,Qatar,33.15,78.1,8.0,12.912402635000001,24.251907645000003,light,high,0.0
IND.21_1,Manipur,State,IND,India,989.9558824,2198.779412,5.233333333333333,18.4072046785,28.300471741499997,light,moderate,329
CHN.6_1,Guangdong,Province,CHN,China,220.0338078,1746.16548,6.037777777777777,21.6874126205,29.1691326195,light,moderate,365
EGY.17_1,Aswan,Governorate,EGY,Egypt,257.3350254,1.385786802,7.576470588235293,17.402284090000002,32.93348461,light,high,0.0
ARE.3_1,Dubai,Emirate,ARE,United Arab Emirates,116.9230769,124.0,0.0,14.118730754999998,27.394807585,wide,high,0.0
IND.15_1,Jharkhand,State,IND,India,360.5465116,1266.093023,6.491666666666666,21.67965255,33.01013669,light,moderate,209
BGD.5_1,Rajshahi,Division,BGD,Bangladesh,18.38333333,1601.566667,6.4,23.81512908,33.95168452,light,moderate,269
BGD.3_1,Dhaka,Division,BGD,Bangladesh,11.54166667,2115.854167,6.466666666666666,23.7179618585,33.1490381215,light,moderate,299
MEX.32_1,Zacatecas,State,MEX,Mexico,2040.331967,466.0163934,7.386363636363637,10.651733960000001,28.10081024,light,moderate,59
BGD.7_1,Sylhet,Division,BGD,Bangladesh,20.04761905,3063.404762,6.4,23.1240233915,32.8655527485,light,moderate,299
TWN.7_1,Taiwan,Province,TWN,Taiwan,841.1627907,2511.104651,6.866666666666667,19.818981934,25.761159946,light,moderate,365
MLI.9_1,Timbuktu,Region,MLI,Mali,293.404079,67.49267049,6.964197530864199,26.473670475000002,41.366587365,light,high,0.0
OMN.4_1,Al Buraymi,Region,OMN,Oman,439.0714286,157.0714286,7.1,16.47071108,29.52098952,light,moderate,0.0
ARE.1_1,Abu Dhabi,Emirate,ARE,United Arab Emirates,104.4188482,81.48167539,7.933333333333334,16.536770739999998,29.94311736,light,moderate,0.0
OMN.2_1,Al Batinah North,Region,OMN,Oman,268.4782609,143.6521739,7.1,16.16471512,27.64771952,light,moderate,0.0
IND.11_1,Gujarat,State,IND,India,85.65180103,695.4545455,7.648979591836734,21.902800875,35.106427625,light,moderate,119
MEX.24_1,San Luis Potosí,State,MEX,Mexico,1506.436548,583.071066,7.589999999999999,13.717508925,29.464565275,light,moderate,22.25
ESH.4_1,Oued el Dahab,Province,ESH,Western Sahara,217.872818,38.28927681,7.105263157894735,21.504578355,33.895567325,light,moderate,0.0
IND.33_1,Tripura,State,IND,India,94.55882353,2275.764706,5.15,22.402448635,32.462086625,light,moderate,299
IND.23_1,Mizoram,State,IND,India,616.0147059,2420.426471,5.128571428571428,19.765097690999998,29.015314029,light,moderate,329
MRT.1_1,Adrar,Region,MRT,Mauritania,328.3931133,38.45193687,7.5699999999999985,26.871935070000003,41.66145829,light,high,0.0
OMN.5_1,Al Dhahira,Region,OMN,Oman,287.9021739,123.6413043,7.800000000000001,17.28186964,31.428947859999997,light,high,0.0
BGD.4_1,Khulna,Division,BGD,Bangladesh,8.542857143,1785.942857,5.25,24.2547018115,33.7115038285,heavy,moderate,239
BGD.2_1,Chittagong,Division,BGD,Bangladesh,72.28431373,2899.54902,5.4625,23.0847922875,31.9760352725,heavy,moderate,299
MMR.13_1,Shan,State,MMR,Myanmar,984.9979757,1477.123482,5.13953488372093,18.083404355000003,29.535142605,light,moderate,299
SAU.11_1,Makkah,Region,SAU,Saudi Arabia,816.0642202,123.6444954,7.202777777777777,18.88037438,32.78855444,light,moderate,0.0
IND.7_1,Chhattisgarh,State,IND,India,435.4349882,1353.22695,6.51951219512195,20.66455373,32.20402067,light,moderate,179
MMR.3_1,Chin,State,MMR,Myanmar,998.0521739,2283.330435,5.199999999999999,17.9938931715,26.7800338485,light,moderate,299
OMN.3_1,Al Batinah South,Region,OMN,Oman,387.0,170.6153846,7.1,16.83499607,28.12972677,light,moderate,0.0
OMN.11_1,Muscat,Province,OMN,Oman,475.8571429,250.0714286,7.1,20.083655446999998,29.982859233,light,moderate,0.0
MMR.8_1,Mandalay,Division,MMR,Myanmar,339.990991,1019.423423,5.75,21.16058243,32.60223915,light,moderate,269
NER.1_1,Agadez,Department,NER,Niger,545.7294361,48.24055872,7.481617647058823,24.586325215000002,39.786086165,light,high,0.0
OMN.1_1,Ad Dakhliyah,Region,OMN,Oman,450.1287129,150.6039604,7.55,17.692934645,30.678425695,light,moderate,0.0
TCD.21_1,Tibesti,Region,TCD,Chad,923.0802005,49.28822055,7.12,21.988746624999997,37.810191275,light,moderate,0.0
VNM.26_1,Hà Giang,Province,VNM,Vietnam,732.48,1741.52,5.1,21.329801364,29.115886196,light,moderate,329
TWN.5_1,Tainan,Special Municipality,TWN,Taiwan,44.42857143,2152.285714,6.4,24.445349623,31.208965237,light,moderate,299
CUB.12_1,Mayabeque,Province,CUB,Cuba,72.36363636,1415.636364,6.3,22.6665447255,31.0931092345,light,moderate,269
CUB.11_1,Matanzas,Province,CUB,Cuba,27.85365854,1315.317073,5.699999999999999,22.9049795275,31.7451715325,light,moderate,269
CUB.16_1,Villa Clara,Province,CUB,Cuba,99.22222222,1395.62963,6.2,21.7553895465,31.3261065135,light,moderate,299
SDN.11_1,Red Sea,State,SDN,Sudan,501.1642012,53.3535503,7.35,23.02658735,36.59675147,light,moderate,0.0
MEX.18_1,Nayarit,State,MEX,Mexico,780.3488372,1143.813953,6.3125,17.707503969999998,33.07566793,light,moderate,179
CUB.13_1,Pinar del Río,Province,CUB,Cuba,72.88235294,1451.088235,5.1,21.910649608,31.548809251999998,light,moderate,329
MRT.7_1,Hodh ech Chargui,Region,MRT,Mauritania,296.2321117,120.4066318,6.7,24.914989775000002,40.076522585,light,moderate,0.0
OMN.7_1,Ash Sharqiyah North,Region,OMN,Oman,308.9220779,161.7792208,7.55,19.357563579999997,31.52742336,light,moderate,0.0
BGD.1_1,Barisal,Division,BGD,Bangladesh,6.088235294,2527.794118,5.25,24.207657618000002,32.660712862000004,heavy,moderate,299
VNM.14_1,Cao Bằng,Province,VNM,Vietnam,620.6666667,1544.380952,5.1,22.2871471835,29.7359862165,light,moderate,364
OMN.8_1,Ash Sharqiyah South,Region,OMN,Oman,125.3333333,134.6190476,8.0,19.061322670000003,29.93232459,light,high,0.0
VNM.36_1,Lai Châu,Province,VNM,Vietnam,1037.071429,1657.25,5.1,19.035731927,27.695631913,light,moderate,329
VNM.38_1,Lào Cai,Province,VNM,Vietnam,836.6,1777.35,5.1,20.4562508625,28.3417492775,light,moderate,329
MEX.14_1,Jalisco,State,MEX,Mexico,1441.368201,922.1841004,6.654999999999999,14.029711565,30.148271795,light,moderate,179
MMR.7_1,Magway,Division,MMR,Myanmar,264.6569343,991.7007299,5.326666666666668,21.578594725000002,32.557365695,light,moderate,269
VNM.60_1,Tuyên Quang,Province,VNM,Vietnam,263.75,1721.95,5.25,23.5520339275,30.8990664525,light,moderate,329
VNM.4_1,Bắc Kạn,Province,VNM,Vietnam,498.8666667,1673.8,5.1,22.5566894665,29.9552034535,light,moderate,329
MEX.30_1,Veracruz,State,MEX,Mexico,281.2769953,1721.502347,6.347058823529411,20.408680875,31.046741665,light,moderate,329
CUB.14_1,Sancti Spíritus,Province,CUB,Cuba,107.7142857,1390.761905,6.4,22.3947029925,31.585192087499998,light,moderate,269
CUB.2_1,Ciego de Ávila,Province,CUB,Cuba,32.86956522,1228.043478,6.75,22.586231457,31.638290183,light,moderate,269
IND.26_1,Odisha,State,IND,India,304.5653061,1463.622449,6.502564102564104,21.93635716,32.12343424,light,moderate,209
LAO.10_1,Phôngsali,Province,LAO,Laos,936.5416667,1656.5625,5.1,19.1336353375,28.9995768225,light,moderate,299
VNM.20_1,Điện Biên,Province,VNM,Vietnam,887.7,1703.133333,5.1,19.7277348015,28.9653651585,light,moderate,329
VNM.35_1,Lạng Sơn,Province,VNM,Vietnam,347.3076923,1463.576923,5.1,23.250562181,30.482114838999998,light,moderate,364
MEX.1_1,Aguascalientes,State,MEX,Mexico,2036.75,531.8125,7.1,10.72932503,27.58290007,medium,moderate,119
USA.12_1,Hawaii,State,USA,United States,963.5833333,1699.104167,7.1,13.2009019385,21.8051356615,light,moderate,365
