GID_0,NAME_0,GID_1,NAME_1,ENGTYPE_1,Sand,Silt,Clay,OC,CN,pH
GTM,Guatemala,GTM.5_1,El Progreso,Department,36.4,37.2,26.4,1.07,9.0,6.9
GTM,Guatemala,GTM.4_1,Chiquimula,Department,81.6,6.8,11.7,0.44,14.0,7.6
HND,Honduras,HND.5_1,Cop?�n,Department,36.4,37.2,26.4,1.07,9.0,6.9
HND,Honduras,HND.13_1,Lempira,Department,40.6,30.55,28.9,2.51,10.5,6.25
HND,Honduras,HND.4_1,Comayagua,Department,62.25,20.35,17.4,1.075,10.0,7.0
SEN,Senegal,SEN.2_1,Diourbel,Region,92.8,2.7,4.7,0.2,10.0,6.3
BFA,Burkina Faso,BFA.12_1,Sahel,Region,62.72222222222222,16.83333333333333,20.48888888888889,0.69,12.666666666666666,6.7444444444444445
SDN,Sudan,SDN.18_1,White Nile,State,33.49999999999999,18.311111111111114,48.144444444444446,0.6444444444444444,14.11111111111111,7.288888888888888
SDN,Sudan,SDN.1_1,Al Jazirah,State,23.48,19.580000000000002,56.879999999999995,0.686,15.4,7.56
ERI,Eritrea,ERI.5_1,Maekel,Region,55.2,21.0,23.8,3.86,11.0,5.3
YEM,Yemen,YEM.17_1,Raymah,Governorate,58.9,16.2,24.9,0.97,11.0,7.1
YEM,Yemen,YEM.11_1,Dhamar,Governorate,58.9,16.2,24.9,0.97,11.0,7.1
MMR,Myanmar,MMR.14_1,Tanintharyi,Division,52.057142857142864,16.457142857142856,31.485714285714284,2.1142857142857143,13.714285714285714,5.2857142857142865
THA,Thailand,THA.66_1,Suphan Buri,Province,61.7,14.4,23.9,0.91,14.0,5.4
THA,Thailand,THA.63_1,Sing Buri,Province,40.9,27.2,32.1,2.26,21.0,5.1
THA,Thailand,THA.60_1,Saraburi,Province,35.3,26.5,38.2,1.77,12.0,5.6
LAO,Laos,LAO.1_1,Attapu,Province,53.6,15.8,30.6,2.25,14.0,5.1
VNM,Vietnam,VNM.34_1,Kon Tum,Province,53.6,15.800000000000002,30.600000000000005,2.25,14.0,5.1
VNM,Vietnam,VNM.48_1,Qu�?�ng Ng?�i,Province,53.6,15.8,30.6,2.25,14.0,5.1
PHL,Philippines,PHL.10_1,Bataan,Province,68.4,10.5,21.2,0.6,10.0,6.3
PHL,Philippines,PHL.17_1,Bulacan,Province,38.9,17.6,43.6,1.57,13.0,5.2
GTM,Guatemala,GTM.6_1,Escuintla,Department,68.4,10.5,21.2,0.6,10.0,6.3
GTM,Guatemala,GTM.11_1,Jutiapa,Department,50.550000000000004,20.4,29.15,1.94,11.0,5.6
HND,Honduras,HND.14_1,Ocotepeque,Department,32.7,30.3,37.1,3.28,12.0,4.9
HND,Honduras,HND.12_1,La Paz,Department,32.7,30.3,37.1,3.28,12.0,4.9
HND,Honduras,HND.8_1,Francisco Moraz?�n,Department,32.7,30.3,37.1,3.28,12.0,4.9
HND,Honduras,HND.7_1,El Para?�so,Department,54.35,20.1,25.6,1.845,11.5,5.65
NIC,Nicaragua,NIC.9_1,Jinotega,Department,39.2,23.633333333333336,37.166666666666664,2.9566666666666666,12.666666666666666,5.0
NIC,Nicaragua,NIC.1_1,Atl?�ntico Norte,Autonomous Region,38.483333333333334,21.95,39.46666666666666,2.6333333333333333,12.666666666666666,5.233333333333333
SEN,Senegal,SEN.5_1,Kaolack,Region,56.75,13.600000000000001,29.75,0.98,12.5,5.800000000000001
SEN,Senegal,SEN.4_1,Kaffrine,Region,71.44999999999999,12.35,16.25,0.445,10.5,6.4
SEN,Senegal,SEN.12_1,Tambacounda,Region,66.42499999999998,14.358333333333333,19.241666666666667,0.6925,10.583333333333334,6.649999999999999
NER,Niger,NER.3_1,Dosso,Department,88.75555555555556,4.233333333333333,7.188888888888889,0.24222222222222223,10.444444444444445,6.322222222222222
TCD,Chad,TCD.10_1,Lac,Region,0.0,0.0,0.0,0.0,0.0,0.0
TCD,Chad,TCD.17_1,Ouadda?�,Region,58.46666666666666,15.299999999999999,26.266666666666666,0.7766666666666667,10.333333333333334,7.566666666666666
SDN,Sudan,SDN.16_1,West Darfur,State,53.050000000000004,23.225,23.825000000000003,0.78,10.0,7.475
ETH,Ethiopia,ETH.11_1,Tigray,State,43.24545454545454,27.963636363636365,28.854545454545452,1.9418181818181817,10.454545454545455,6.0636363636363635
ETH,Ethiopia,ETH.2_1,Afar,State,57.68260869565218,18.28695652173913,24.04782608695652,1.0286956521739132,11.73913043478261,7.117391304347826
ERI,Eritrea,ERI.3_1,Debubawi Keyih Bahri,Region,61.2,17.7,21.1,0.865,11.0,7.35
YEM,Yemen,YEM.14_1,Ibb,Governorate,58.9,16.2,24.9,0.97,11.0,7.1
YEM,Yemen,YEM.3_1,Al Bayda',Governorate,58.9,16.2,24.899999999999995,0.9700000000000001,11.0,7.099999999999999
THA,Thailand,THA.46_1,Phra Nakhon Si Ayutthaya,Province,11.7,36.8,51.5,2.57,13.0,4.1
THA,Thailand,THA.49_1,Prachin Buri,Province,53.6,15.8,30.6,2.25,14.0,5.1
KHM,Cambodia,KHM.15_1,Otdar Mean Chey,Province,61.70000000000001,14.4,23.899999999999995,0.91,14.0,5.400000000000001
KHM,Cambodia,KHM.18_1,Preah Vih??ar,Province,47.833333333333336,22.933333333333334,29.366666666666664,1.8099999999999998,18.666666666666668,5.2
