type,sand % topsoil,sand % subsoil,silt % topsoil,silt% subsoil,clay % topsoil,clay % subsoil,pH water topsoil,pH water subsoil,OC % topsoil,OC % subsoil,N % topsoil,N % subsoil,BS % topsoil,BS % subsoil,CEC topsoil,CEC subsoil,CEC clay topsoil,CEC Clay subsoil,CaCO3 % topsoil,CaCO3 % subsoil,BD topsoil,BD subsoil,C/N topsoil,C/N subsoil
BK 2,59.5,66.1,15.1,13.6,25.5,20.3,7.5,8.2,0.77,0.29,0.29,0.1,92,99,16,12.5,45,45,9.7,24.1,1.4,1.5,10,4
BK 3,10.3,13.8,40,41.9,49.7,43.4,8.6,8.7,0.84,0.49,0.09,0.07,95,100,31.8,26.4,64,60,37.5,71.9,1.2,1.1,9,7
BV,23.3,20,26,26.1,50.7,53.9,7.4,7.4,1.1,0.53,0.05,0.15,85,84,42.3,41.1,81,74,3.3,6.7,1.7,1.8,28,6
BV 1,35,33,25,25,40,42,7,7,1,0.4,0.04,0.05,80,80,33,32,81,76,0,2,1.2,1.6,25,8
BV 2,25,22,30,30,45,48,7.2,7.2,1.5,0.5,0.06,0.07,82,82,38,37,83,76,2,5,1.2,1.6,25,7
BV 3,23.3,20,26,26.1,50.7,53.9,7.4,7.4,1.1,0.53,0.05,0.15,85,84,42.3,41.1,81,74,3.3,6.7,1.7,1.8,28,6
BX,42.4,43.2,31.2,29.9,26.4,27,5.3,6.3,1.48,1.26,0.11,0.1,73,93,27.2,19.2,71,65,0,1.1,1.3,1.6,13,13
BX 1,75,71,20.6,24,4.5,5,5.2,5.3,1,0.7,0.06,0.07,64,91,30.7,12.1,90,90,0,0,1.4,1.7,15,10
BX 2,50,52,30,28,20,20,5.3,6.3,1.2,0.8,0.08,0.08,65,80,27,19,90,90,0,0,1.3,1.6,15,10
BX 3,26.2,29.3,36.5,32.8,37.4,38,5.3,7.2,1.48,1.26,0.11,0.1,77,95,25.5,22.8,71,65,0,1.7,1.3,1.6,13,13
C,42.9,38.8,27.6,27.1,29.5,34.2,7.3,8.1,1.52,0.56,0.18,0.1,93,99,21,17.7,54,56,4.8,13.4,1.2,1.2,22,15
CG,32,30,45,45,23,25,7,8,3.6,1.8,0.3,0.15,80,95,25,22,60,60,0,0.5,1.1,1.4,12,12
CG 1,80,70,10,10,10,20,6.5,7.6,3,1,0.2,0.1,75,90,10,10,60,60,0,0,1.1,1.5,15,10
CG 2,30,23,50,55,20,22,7,7.8,3.6,1.5,0.3,0.15,80,100,20,18,60,60,0,0.5,1.1,1.4,12,10
CG 3,42,38,22,22,36,40,7.2,8,3.6,1.5,0.3,0.15,85,100,25,20,60,60,1,5,1.1,1.3,12,10
CH,32.2,30.8,44.1,45.7,23.7,24,7.1,8,3.04,0.97,0.26,0.11,82,100,24.5,16.4,114,92,0.1,7.3,1.1,1.3,12,9
CH 1,80,75,10,10,10,15,7,8,2,0.7,0.16,0.08,80,100,14,14,13,90,0,5,1.1,1.4,12,9
CH 2,27.3,24.9,55.1,57.2,17.6,18,7.1,8.1,2.44,0.81,0.22,0.09,82,100,24.5,16.4,114,92,0.5,7.8,1.1,1.3,11,9
CH 3,42,42.5,22,22.8,36,36.1,7.6,7.7,2.89,0.96,0.25,0.11,98,100,27,18,110,90,2,10,1.1,1.3,12,9
CK,41.6,39.3,26.6,25.4,31.8,35.3,7.5,8.3,1.32,0.51,0.18,0.13,98,100,21.8,17.6,56,57,8.1,17,1.1,1.1,11,8
CK 1,80.5,41.5,8.6,14.7,11,43.9,6.7,8.8,1.01,0.32,0.09,0.04,91,100,9.8,16.3,52,38,0,0,1.1,1.3,11,9
CK 2,41.4,47.9,31.7,28.4,26.8,23.8,7.6,8.1,1.47,0.67,0.18,0.13,99,100,18.9,14.4,60,71,10.9,19.4,1.1,1.1,11,8
CK 3,16.1,17.9,26.8,25.7,57.1,56.3,7.7,8.4,1.17,0.25,0.1,0.03,100,100,35.4,24.8,53,43,12,25,1.1,1.3,11,8
CL,46.3,40.2,24.9,24.5,28.8,35.4,7.1,7.9,1.27,0.49,0.12,0.07,91,98,19.9,18,47,50,3,12,1.3,1.3,37,26
CL 1,79.7,68.7,4.4,3.5,16,27.8,7.2,7.6,0.72,0.35,0.07,0.04,93,97,11.6,17.2,55,59,0,5,1.1,1.4,11,8
CL 2,41.2,33.3,33.8,32,25,34.8,7.1,8,1.47,0.56,0.13,0.06,87,97,18.1,15.7,45,44,2.5,14.5,1.3,1.2,44,32
CL 3,39.9,39.7,17.3,19.9,42.9,40.5,7.1,8,1.22,0.49,0.1,0.07,95,98,24.8,24,46,56,4.7,10.5,1.3,1.4,10,5
D,40.2,35,50.3,47.2,9.6,17.8,5.3,5.2,1.09,0.24,0.16,0.06,88,96,19.3,19.1,109,44,0,0,1.2,1.4,9,3
DD,3,2.4,87.8,84.3,9.2,13.3,4.4,4.8,1.14,0.4,0.08,0.02,25,45,6,9,63,66,0,0,1.2,1.4,15,20
DD 1,70,65,18,15,12,20,4.5,4.9,1,0.3,0.05,0.01,30,50,8,10,63,49,0,0,1.2,1.4,20,25
DD 2,3,2.4,87.8,84.3,9.2,13.3,4.4,4.8,1.14,0.4,0.08,0.02,25,45,8,10,83,74,0,0,1.1,1.4,15,20
DD 3,45,40,15,10,40,50,4.6,5,1.5,0.5,0.1,0.03,35,50,15,20,32,38,0,0,1.2,1.4,15,15
DE,71.1,65.5,17.8,15,11.1,19.5,5.3,5.1,1.47,0.2,0.16,0.06,65,55,10.8,11.8,109,44,0,0,1.1,1.3,9,3
DE 1,71.1,65.5,17.8,15,11.1,19.5,5.3,5.1,1.47,0.2,0.16,0.06,65,55,10,12,85,61,0,0,1.2,1.4,9,3
DE 2,50,40,40,40,10,20,5.5,5.8,2,0.6,0.2,0.12,70,80,10,12,93,58,0,0,1.1,1.3,10,5
DE 3,45,40,15,10,40,50,5.5,6,2.2,0.7,0.22,0.14,70,85,20,25,43,48,0,0,1.2,1.4,10,5
DG,46.4,37.2,45.2,42.2,8.4,20.6,5.8,5.4,0.65,0.13,0.07,0.02,88,96,27.8,26.3,80,70,0,0,1.2,1.6,10,8
DG 1,70,60,20,20,10,20,5.6,5.8,2,0.6,0.2,0.06,75,85,15,16,80,70,0,0,1.2,1.7,10,10
DG 2,46.4,37.2,45.2,42.2,8.4,20.6,5.9,5.4,0.65,0.13,0.07,0.02,90,65,9,15,80,70,0,0,1.2,1.6,10,8
DG 3,50,40,15,10,35,50,5.8,6.2,2,0.6,0.2,0.07,88,90,35,35,80,70,0,0,1.1,1.5,10,8
E,48.5,45,30.8,32,20.7,23,7.6,7.5,1.74,0.9,0.29,0.11,89,90,22.7,25,51,80,23.2,40,1.4,1.5,9,8
E  1,70,67,10,11,20,22,7.5,7.8,0.9,0.5,0.08,0.07,78,90,14,16,61,62,1.7,5,1.4,1.6,12,8
E  2,50,47,25,26,25,27,7.6,8,1.96,0.9,0.29,0.11,100,100,25.5,25,46,80,30.4,35,1.4,1.5,9,8
E  3,30,27,35,36,30,32,7.5,8.2,2,1,0.22,0.13,100,100,25,27,76,80,30,50,1.5,1.5,9,8
F,35.7,31.1,16.3,15.8,48,53,5,5.2,1.93,0.75,0.17,0.08,27,28,9,5.5,22,11,0,0,1.2,1.1,13,10
FA,23.5,22.1,27.4,25.8,49.1,52,5.2,5.4,2.63,0.98,0.19,0.09,46,43,5.8,2.8,14,9,0,0,1,1,14,10
FA 1,83,70.3,5.3,9.4,11.7,20,5.8,5.4,0.62,0.33,0.06,0.03,63,63,1.7,2.4,15,12,0,0,1.4,1.3,15,10
FA 2,55,48,9,10,36,42,5.2,5.4,2,0.7,0.13,0.07,40,40,5,3,7,5,0,0,1.3,1.2,15,10
FA 3,13.6,14.1,31.1,28.6,55.3,57.4,5.1,5.4,3.03,1.11,0.23,0.09,42,38,6.6,2.8,13,8,0,0,1,1,15,10
FH,12.8,9.1,21.6,23,65.5,67.8,4.8,5.1,3.49,1.44,0.31,0.12,12,13,14.3,9.7,23,15,0,0,1,1,14,12
FH 1,80,69,6,6,14,25,4.6,5,3,1,0.21,0.08,10,20,7,7,40,25,0,0,1.4,1.3,14,12
FH 2,45,40,25,20,30,40,4.8,5.1,3.5,1.3,0.25,0.11,15,20,15,10,38,20,0,0,1.2,1.2,14,12
FH 3,13,9.1,20.9,23,66,67.8,4.9,5.1,3.64,1.48,0.42,0.12,13,13,13.9,9.1,23,15,0,0,1,1,14,14
FO,28.7,25.8,18.4,17.3,52.9,56.9,5.1,5.3,1.92,0.67,0.22,0.1,28,31,11,6.5,23,12,0.1,0.1,1,1,11,8
FO 1,79.1,65.5,7,5.6,13.9,29,4.6,4.8,0.65,0.36,0.05,0.04,16,12,2.7,4.4,17,10,0,0,1.5,1.4,14,10
FO 2,45.7,44.5,30.1,29,24.2,26.5,5.4,5.5,1.53,0.23,0.25,0.14,29,32,9.1,5,40,19,0,0,1.2,1.2,8,3
FO 3,15.7,13.9,16.5,15.5,67.8,70.6,5.1,5.3,2.21,0.81,0.23,0.09,29,34,12.2,7.1,18,10,0.2,0.2,1,0.9,12,10
FP,44.7,33.6,20.6,27.4,34.8,38.8,4.8,4.7,1.36,0.55,0.1,0.05,15,8,7.9,5.6,26,11,0,0,1.5,1.3,14,11
FP 1,80,63,6,7,14,30,4.8,4.6,1,0.3,0.06,0.03,15,10,8,6,54,19,0,0,1.4,1.3,15,12
FP 2,42,34.5,42,39.4,16,26.1,4.8,4.6,1.04,0.32,0.06,0.03,16,10,6.1,5,38,18,0,0,1.5,1.2,15,11
FP 3,57.7,32.6,5.8,15.4,36.5,51.5,4.7,4.7,1.69,0.78,0.13,0.07,15,8,8.9,5.6,20,11,0,0,1.3,1.2,14,11
FR,40.4,36.8,14.8,13.3,44.6,49.8,5.3,5.4,1.52,0.63,0.11,0.05,37,40,8.6,4.9,26,11,0,0,1.2,1.2,15,10
FR 1,80.7,76.2,4.1,4.3,14.6,19.4,5.3,5.1,0.65,0.29,0.04,0.03,18,19,3.4,2,26,10,0,0,1.4,1.4,15,10
FR 2,69.8,60.3,7.7,7.9,22.5,31.5,5.3,5.4,0.81,0.36,0.05,0.02,49,61,2.7,1.8,14,6,0,0,1.4,1.4,14,11
FR 3,23.9,21,18.9,16.9,57.2,61.9,5.2,5.3,1.84,0.83,0.1,0.06,34,33,9.1,5.1,26,10,0,0,1.1,1,17,12
FX,52.6,47.2,7.8,6.8,39.5,45.9,4.8,4.9,1.23,0.41,0.09,0.04,22,17,5.3,3.3,20,8,0,0,1.3,1.3,14,9
FX 1,79,68.6,5.8,6.3,14.8,24.7,5.3,5,0.81,0.3,0.04,0.02,39,28,3.9,2.7,30,10,0,0,1.5,1.5,19,9
FX 2,72.9,62.3,5.9,6.7,21.3,31,5,4.9,0.91,0.34,0.08,0.04,23,11,4.4,3.1,22,10,0,0,1.4,1.4,13,9
FX 3,8.6,7.5,8.9,7.4,82.4,85,4.4,4.8,1.73,0.58,0.13,0.07,10,13,6.9,3.9,11,5,0,0,1.1,0.7,13,9
G,32.9,44.3,23.7,19.7,43.4,37,6.1,6.4,2.02,0.72,0.23,0.1,76,77,25.1,18.4,46,48,0.2,0.5,1.2,1.3,15,10
GD,18.9,33.9,21.8,18,59.3,48.2,4.7,4.7,2.92,1.63,0.21,0.06,53,47,32.2,24.7,38,42,0,0,1.1,1.1,10,8
GD 1,80,80,5,5,15,15,5,5.3,2.3,1.2,0.23,0.15,45,50,10,12,59,76,0,0,1.3,1.6,10,8
GD 2,51.3,53.6,28.1,28.1,20.7,18.3,5.3,6.2,2.59,0.55,0.2,0.07,50,67,12,14.4,64,72,0,0,1.3,1.3,11,8
GD 3,11.8,30.5,20.5,14.4,67.7,55.1,4.5,4.3,2.96,1.93,0.22,0.04,51,43,36.4,25.4,36,36,0,0,0.7,0.8,8,8
GE,42.8,50.3,20.4,18.4,36.8,32.9,6.4,6.8,1.3,0.52,0.13,0.07,84,85,22.1,18.7,50,54,0.2,0.8,1.2,1.5,12,11
GE 1,82.1,83.2,6.5,4.5,11.4,12.3,6.8,6.9,0.81,0.23,0.07,0.02,84,81,8.3,8,49,61,0,0,1.3,1.6,12,10
GE 2,51,49.9,24.2,22,28.2,31.5,6.6,7.1,1.41,0.4,0.11,0.05,89,92,19.8,18.9,54,55,0.5,2.4,1.6,1.7,13,10
GE 3,25.5,38.1,23.1,19.7,51.3,42.3,6.1,6.4,1.35,0.78,0.15,0.09,80,79,28.2,22.5,47,51,0,0,1.1,1.4,12,11
GH,40.5,32.6,30.3,27.9,29.2,39.5,5,5.3,6.56,1.91,0.42,0.11,29,36,23.5,17,50,44,0,0,1.2,1.5,15,16
GH 1,80,80,5,5,15,15,4.6,5.3,5,1.5,0.33,0.13,25,40,14,10,76,61,0,0,1.3,1.6,15,12
GH 2,55.8,46.7,31.7,31.4,12.6,22,4.6,5.5,7.2,2.4,0.75,0.17,25,40,26.9,15.9,61,64,0,0,1.2,1.5,17,14
GH 3,25.2,18.6,29,24.5,45.9,57.1,5.4,5.2,5.27,1.42,0.26,0.09,43,55,20.2,18.1,45,35,0,0,1.2,1.6,14,18
GK,31.8,46.3,18,14.9,50.2,38.7,7,7.9,0.98,0.21,0.01,0.03,93,97,27.7,20.5,46,51,0.6,5.4,1.2,1.5,69,8
GK 1,80,80,5,5,15,15,7,7.5,1,0.3,0.1,0.04,90,95,10,10,63,66,0,0.5,1.3,1.5,10,8
GK 2,63.6,65.6,7.7,3.2,28.7,31.2,7,7.6,0.72,0.26,0.07,0.03,90,87,16.1,17.8,44,62,0,1,1.2,1.5,10,8
GK 3,25.6,41.8,21,17.6,53.4,40.5,7,8,1.04,0.2,0.01,0.03,94,99,30.2,21.1,46,49,0.8,5.4,1.2,1.5,69,8
GM,26.4,50.2,25.9,16.2,47.7,35.7,6,6.4,2.44,0.78,0.32,0.17,80,83,30.1,17.6,43,43,0.3,0.8,1.2,1.5,14,12
GM 1,81.5,89.4,8.2,5.8,10.4,4.8,7.1,6.5,0.77,0.3,0.06,0.03,97,91,10,3.6,70,76,0,0,1.3,1.6,12,10
GM 2,41.4,57.4,38.4,20,26.6,33.8,7.4,7.9,2.57,1.08,0.32,0.17,100,100,25.1,20.5,76,50,0,0,1.2,1.5,14,12
GM 3,20.5,45.6,25,16.1,54.5,38.4,5.6,6.1,2.54,0.7,0.28,0.08,76,79,32.2,18.2,36,40,0.3,1,1.2,1.6,11,9
GP,17.9,22.9,51.9,40.4,30.1,36.8,5.2,5.2,2.73,0.42,0.14,0.05,26,29,9.1,5,37,17,0,0,1.1,1.3,11,7
GP 1,40,40,50,45,10,15,5,5.2,2,0.4,0.16,0.04,30,35,6,5,53,32,0,0,1.4,1.6,12,10
GP 2,24.1,24.1,57.1,49.9,18.8,25.9,5.1,5.2,1.3,0.31,0.14,0.05,29,26,7.9,6.5,44,24,0,0,1.5,1.5,11,7
GP 3,8.6,21,44.1,26,47,53.1,5.5,5.1,4.88,0.59,0.44,0.07,23,33,10.9,2.7,22,5,0,0,0.9,1.2,11,8
GX,50,40,30,30,20,30,6,5.8,4.23,1.18,0.6,0.54,65,55,14.2,6.2,90,39,0,0,1.2,1.5,18,4
GX 1,80,80,5,5,15,15,6,5.8,2,1,0.1,0.08,65,55,14,5,86,30,0,0,1.3,1.6,20,12
GX 2,55,45,30,30,15,25,6,5.8,4,2,0.22,0.16,65,55,14,6,79,17,0,0,1.2,1.5,18,12
GX 3,25,20,30,25,45,55,6,5.8,4,2,0.22,0.16,65,55,20,13,30,17,0.5,0,1.2,1.6,18,12
H,37.3,52,25.7,20.5,37,27.5,6.5,6.8,1.57,0.53,0.18,0.08,82,85,24.7,18.5,53,53,0.5,2.9,1.3,1.4,10,8
HC,40.8,40.8,22.5,25.7,36.8,33.4,7.9,8.4,2.17,0.8,0.19,0.09,98,92,39.3,40.5,92,93,3.1,21.9,1.2,1.4,11,9
HC 1,75,70,15,15,10,15,7.2,8.2,2,0.8,0.16,0.08,90,98,10,15,93,97,0.5,5,1.2,1.5,12,10
HC 2,56.9,56.8,23,21.2,20.2,22,7.8,8.3,1.59,0.59,0.17,0.09,95,83,15.9,18.3,78,93,2.7,8.2,1.2,1.4,10,7
HC 3,8.5,8.8,21.5,34.9,70,56.3,8.2,8.6,3.33,1.23,0.24,0.09,100,100,62.7,62.7,92,92,3.4,35.5,1.2,1.4,14,14
HG,34.6,65.2,22.2,13.8,43.3,21,6,6.3,1.82,0.38,0.4,0.13,78,84,27.5,16.5,40,42,0,0,0.8,1.2,4,2
HG 1,83,90.8,6.6,3.3,10.3,5.9,5.9,6.9,0.7,0.11,0.07,0.01,71,66,6,3.3,27,42,0,0,1.1,1.3,10,8
HG 2,64.1,74.8,11.7,5.5,24.2,19.7,6.6,6.4,0.52,0.16,0.05,0.02,85,85,15.8,11.8,59,55,0,0,1,1.2,10,8
HG 3,13,56.2,29.5,19.3,57.6,24.6,5.6,6,2.72,0.53,0.4,0.13,74,84,36,20.4,33,37,0,0,0.8,1.2,4,2
HH,37.2,46,31.2,26.7,31.6,27.4,6.7,6.9,1.09,0.5,0.15,0.07,81,78,21.9,17.7,65,65,0.3,0.4,1.4,1.4,9,10
HH 1,75,70,20,20,5,10,6.5,6.7,1.5,0.5,0.15,0.06,80,85,8,10,65,65,0,0,1.2,1.3,10,8
HH 2,45.5,55.7,30.9,24.7,23.6,19.7,6.6,6.7,1.02,0.3,0.17,0.08,87,80,14.6,11.4,62,62,0.4,0.5,1.5,1.5,10,7
HH 3,20.7,26.5,31.9,30.8,47.5,42.8,7.3,7.6,1.28,0.92,0.14,0.06,77,75,40.3,34.1,75,72,0,5,1.3,1.3,10,17
HL,39.1,46.9,26.5,20.7,34.6,32.4,6.4,6.6,1.46,0.63,0.13,0.07,83,89,20.4,15.8,54,43,0.4,0.7,1.3,1.3,13,9
HL 1,75,70,15,10,10,20,6.4,6.6,1.5,0.5,0.13,0.06,83,89,10,15,75,73,0,0,1.4,1.5,12,9
HL 2,43.5,53.4,31.2,27.8,25.5,18.8,6.6,6.8,1.23,0.52,0.1,0.03,87,95,17.8,12.1,68,52,0,0.8,1.4,1.4,10,7
HL 3,33.2,38.3,20.2,11.2,46.6,50.5,6.4,6.6,1.8,0.75,0.14,0.1,73,79,23.3,16.7,34,29,0.9,0.8,1.3,1.3,15,10
I,58.9,56,16.2,17,24.9,27,7.1,7.2,0.97,0.4,0.13,0.02,69,90,10.4,8,55,28,0.1,0.5,1.2,1.5,11,8
I  1,75,72,15,16,10,12,8.3,8.3,0.31,0.2,0.01,0,98,100,7.9,8,69,66,0.1,0.5,1.3,1.5,12,9
I  2,65,62,15,16,20,22,7,7.2,1,0.4,0.09,0.05,80,90,13,15,62,67,0.3,0.5,1.2,1.5,11,8
I  3,55,52,15,16,30,32,4.8,5.5,2.3,0.8,0.25,0.1,11,60,15.4,15,27,44,0,0,1.4,1.6,9,8
J,55.8,52.7,22.2,23.5,22,23.8,6.3,6.3,1.32,0.81,0.19,0.1,82,84,14.8,15,55,58,1.5,2.4,1.3,1.2,12,13
JC,39.6,41.7,39.9,39.8,20.6,18.5,8,8.1,0.65,0.24,0.08,0.02,99,99,17.7,15.8,52,42,10.1,11.6,1.5,1.4,10,11
JC 1,68.9,62.9,16.7,20.1,14.4,17,8,8.2,0.28,0.11,0.03,0.01,97,94,5.5,4.2,48,25,0.7,3.3,1.6,1.6,10,10
JC 2,20.9,36.4,54,44.8,25.2,18.9,8,8.1,0.84,0.27,0.08,0.02,100,100,23.8,18.8,56,50,14.8,13.7,1.4,1.3,10,11
JC 3,10,10,50,50,40,40,8,8.2,0.9,0.3,0.09,0.03,100,100,25,20,59,49,15,20,1.4,1.4,10,10
JD,35.9,33.9,39.4,37.2,24.8,28.9,4.5,4.4,2.16,1.3,0.18,0.09,41,51,41.2,33.2,89,74,0,0,1.3,1.3,11,12
JD 1,79.5,85.9,13.5,9.3,7,4.8,5.6,5.5,1.31,0.77,0.13,0.08,40,50,10,5,90,70,0,0,1.3,1.4,10,10
JD 2,32.5,25.7,44.1,42.9,23.5,31.5,4.3,4.3,1.68,1.66,0.13,0.1,40,50,40,30,90,70,0,0,1.2,1.4,11,14
JD 3,2.3,6.8,51.3,48.2,46.5,45.1,4.1,3.6,4.47,0.74,0.39,0.08,41,51,41.2,33.2,89,74,0,0,1.2,1.4,11,9
JE,70.8,67,12.8,14.1,16.5,18.9,6.6,6.9,1.15,0.67,0.29,0.16,86,90,11.6,11.2,54,59,0,0,0.9,0.8,14,13
JE 1,80.1,79.5,8.6,7.6,11.4,12.9,6.4,6.5,0.76,0.25,0.08,0.03,85,91,8.1,7.4,56,63,0,0,1.3,1.3,10,8
JE 2,56.2,55.1,19.1,19.6,24.7,25.4,6.8,7.2,0.93,0.29,0.09,0.04,86,88,15.6,13.8,49,52,0,0,0.7,0.7,10,8
JE 3,21,21.1,36.9,40.1,42.2,38.9,7.2,7.4,2.61,0.83,0.24,0.12,100,100,31.8,29,59,55,0,0,1.2,1.4,10,6
JT,11.7,7.8,36.8,40.3,51.5,52,4.1,3.6,2.57,1.67,0.21,0.09,45,47,25.2,27.8,56,59,0,0,1.3,1.5,13,18
JT 1,50,50,30,30,20,20,3.5,2.8,2,1,0.13,0.05,15,10,20,20,93,96,0,0,1.4,1.6,15,20
JT 2,30,9.1,36.7,48.6,33.3,42.3,3.6,2.8,3,1.5,0.2,0.08,100,100,26.1,33.7,100,82,0,0,1.3,1.5,15,20
JT 3,5.8,7.4,34,37.5,60.2,55.2,4.3,3.8,2.57,1.67,0.21,0.09,31,34,25,26.3,45,54,0,0,1.3,1.5,13,18
K,39.1,42.6,37,33.9,23.9,23.4,7.6,7.9,1.93,0.89,0.2,0.1,93,94,24.4,24.1,84,94,5.2,16.9,1.3,1.2,11,10
KH,54.5,60.4,27.3,22.9,18.2,16.7,7.7,8.2,2.16,0.8,0.2,0.1,97,100,22,18.4,81,101,2.5,13.4,1.2,1.3,11,9
KH 1,80,65,10,10,10,25,7.2,8,1.2,0.5,0.1,0.05,90,95,12,27,100,100,0.5,5,1.2,1.4,12,10
KH 2,54.5,60.4,27.3,22.9,18.2,16.7,7.7,8.2,2.16,0.8,0.2,0.1,97,100,22,18.4,81,101,2.5,13.4,1.1,1.3,11,9
KH 3,40,40,20,20,40,40,7.7,8.5,2,0.8,0.2,0.09,95,100,35,40,81,97,5,20,1.1,1.3,10,9
KK,16.5,20.7,48.9,48,34.4,31.3,8,8.2,1.5,1.01,0.16,0.1,98,98,32.5,31.5,79,80,14.1,33,1.2,1.3,15,15
KK 1,80,70,15,15,5,15,8,8.2,1.5,1,0.1,0.1,100,100,10,16,100,100,3,6,1.2,1.3,12,10
KK 2,18.5,26.9,54.9,47.7,26.7,25.5,8,8.2,1.48,1.11,0.12,0.09,100,100,35.3,45.2,100,100,6.9,9.6,1.2,1.3,15,15
KK 3,12.5,11.8,37,39.3,50,48.9,7.9,7.9,1.55,0.81,0.2,0.08,100,100,29.8,26.1,61,66,14,33,1.2,1.3,10,10
KL,36.7,42.4,40.3,33.8,23.1,23.9,7.1,7.5,2,0.87,0.22,0.12,86,84,20.3,24.5,93,97,2.8,12.2,1.3,1.2,9,9
KL 1,80,70,5,5,15,25,7.1,7.5,1.6,0.8,0.18,0.09,85,85,18,25,100,97,0.5,3,1.2,1.4,9,9
KL 2,35.1,50.1,45.8,31.7,19,18.2,7.3,7.7,1.83,0.87,0.22,0.13,81,77,18.7,25.6,88,104,8.5,9.8,1.3,1.2,8,9
KL 3,41.4,39,23.5,22.8,35.2,38.2,7.3,7.4,1.73,1.01,0.16,0.1,85,95,37,34,100,86,0,13.4,1.2,1.4,11,10
L,70.4,64.5,10.3,9.9,19.3,25.7,6.7,7.2,0.51,0.27,0.13,0.36,84,86,11.1,13.3,50,49,0.3,1.1,1.4,1.5,11,8
LA,87.5,81.8,6.2,5.9,6.4,12.3,6.7,7.3,0.47,0.21,0.13,0.07,84,91,2.8,5.2,38,44,0.3,0.6,1.6,1.7,25,13
LA 1,90.1,84.5,4.5,4.6,5.3,10.9,6.8,7.4,0.28,0.16,0.01,0.01,84,91,2.8,5.2,38,44,0.3,0.7,1.5,1.6,20,15
LA 2,47.8,40.3,30.3,25.1,21.9,34.6,5.5,4.7,3.2,0.94,0.13,0.07,65,50,5,12,11,31,0,0,1.9,1.9,25,13
LA 3,50,30,25,20,25,50,6,6.5,1.5,0.5,0.08,0.05,70,80,7,15,23,28,0,0.5,1.3,1.6,20,10
LC,64.3,59,12.2,11.2,23.5,29.8,6.4,6.5,0.63,0.35,0.11,0.06,80,81,13.1,14.7,46,44,0.2,0.9,1.4,1.6,10,8
LC 1,80.2,73.3,7.7,6.9,12.1,19.8,6.4,6.6,0.3,0.22,0.04,0.02,76,78,10.4,12.8,46,43,0.1,0.5,1.5,1.5,12,10
LC 2,57.6,51,16.4,15.9,26.1,33.1,6.2,6.3,0.64,0.41,0.08,0.05,81,81,13.6,15.7,49,46,0.2,0.2,1.4,1.6,9,8
LC 3,29.2,31.4,13.6,12.3,57.3,56.6,6.5,6.8,1.51,0.48,0.15,0.09,86,91,21.7,19.1,39,37,0.5,6.5,1.3,1.6,10,6
LF,74.6,67.7,9.6,8.9,15.9,23.4,6.4,7,0.39,0.25,0.05,0.04,69,69,5.3,6.2,33,27,0,0,1.5,1.5,12,9
LF 1,82.2,75.1,7.3,6.7,10.5,18.3,6.1,6,0.37,0.22,0.04,0.03,69,69,4.6,5.5,37,29,0,0,1.6,1.5,15,9
LF 2,64.4,55.8,13.5,12.9,22.1,31.3,6.3,8.9,0.39,0.28,0.05,0.04,69,70,6.2,7.6,26,23,0,0,1.4,1.5,10,9
LF 3,26.9,26.1,19.1,18.2,54.1,55.6,5.7,5.6,0.54,0.5,0.05,0.06,40,48,11.1,9.6,20,14,0,0,1.3,1.6,12,9
LG,59.9,53.4,13.4,12.6,26.7,34,6.5,6.9,0.73,0.31,0.21,1.83,86,92,17.8,20.3,61,59,0,0.3,1.1,1.4,15,7
LG 1,81.7,71.9,6,5.8,12.3,22.3,6.3,6.7,0.45,0.2,0.03,0.03,80,88,9.5,13.4,65,63,0,0.2,1.4,1.6,18,8
LG 2,55.4,48.5,18.3,17.5,26.3,34.1,6.5,7.1,0.83,0.23,0.21,1.83,85,92,18.4,20.9,63,59,0.1,0.6,1.1,1.4,15,7
LG 3,42.4,41.3,12.7,10.6,44.9,48.2,6.8,7.2,0.85,0.52,0.06,0.07,90,97,25.1,26.7,53,55,0,0,1,1.4,15,7
LK,75.4,69.5,7.4,8.2,17.2,22.4,7.7,8.2,0.34,0.23,0.08,0.06,93,95,10.6,12.8,56,55,1.6,7.6,1.5,1.5,9,6
LK 1,84.3,79.7,5.1,5,10.6,15.4,7.5,8.1,0.26,0.17,0.03,0.02,93,95,7,9,57,55,1.6,5.3,1.5,1.5,10,8
LK 2,64,55.3,10.9,12.5,25.2,32.2,7.9,8.3,0.44,0.33,0.09,0.07,93,93,14.9,17.7,54,54,2,13.1,1.5,1.3,10,8
LK 3,46.7,39.1,14.8,17.7,38.6,43.3,8.4,8.9,0.49,0.36,0.06,0.04,98,98,23,26.5,57,64,0,20,1.4,1.3,6,3
LO,76,71.9,9.9,8.9,14.1,19.2,6.4,6.7,0.41,0.21,0.14,0.05,88,88,8.6,11.6,54,55,0.1,0.2,1.4,1.5,11,10
LO 1,87.1,81.6,4.2,4.2,8.7,14.3,6.3,6.6,0.33,0.17,0.26,0.06,87,86,6.2,9.5,56,56,0.1,0.1,1.2,1.7,12,10
LO 2,53.7,49.6,23.3,22.1,23,28.3,6.7,7,0.57,0.28,0.08,0.04,90,94,11.3,13.4,46,47,0.1,0.3,1.5,1.5,11,10
