,GID_0,NAME_0,NAME_1,ENGTYPE_1,Sand,Silt,Clay,OC,CN
COD.24_1,COD,Democratic Republic of the Congo,Tanganyika,Province,36.809375,16.8375,46.284375000000004,1.8334375,13.28125
TZA.7_1,TZA,Tanzania,Katavi,Region,59.92000000000002,16.413333333333338,23.679999999999996,0.9626666666666668,13.133333333333333
PNG.22_1,PNG,Papua New Guinea,Western,Province,58.48846153846154,16.31153846153846,25.146153846153844,1.268846153846154,13.23076923076923
PNG.9_1,PNG,Papua New Guinea,Hela,Province,40.6,30.55,28.9,2.51,10.5
PNG.7_1,PNG,Papua New Guinea,Enga,Province,35.6,26.3,38.025,2.94,11.25
PNG.10_1,PNG,Papua New Guinea,Jiwaka,Province,55.2,21.0,23.8,3.86,11.0
PER.14_1,PER,Peru,Lambayeque,Region,68.3,15.1,16.6,0.5,9.0
PER.23_1,PER,Peru,San Mart?�n,Region,55.47692307692308,14.83846153846154,29.684615384615388,1.8476923076923077,13.23076923076923
AGO.18_1,AGO,Angola,Zaire,Province,42.3125,15.4125,42.3,1.5225,11.25
AGO.17_1,AGO,Angola,U?�ge,Province,63.70000000000001,10.011111111111113,26.34444444444445,1.0033333333333334,11.555555555555555
COD.8_1,COD,Democratic Republic of the Congo,Kasa?�-Oriental,Province,44.63333333333333,11.333333333333334,43.96666666666667,1.46,13.0
TZA.14_1,TZA,Tanzania,Morogoro,Region,53.10555555555556,15.838888888888887,31.077777777777776,1.228888888888889,11.88888888888889
TZA.20_1,TZA,Tanzania,Pwani,Region,68.20000000000002,11.957142857142856,19.88571428571429,0.8142857142857142,12.571428571428571
PNG.21_1,PNG,Papua New Guinea,Western Highlands,Province,31.3,24.8,43.8,3.34,12.0
PNG.3_1,PNG,Papua New Guinea,Chimbu,Province,43.95,25.65,30.450000000000003,3.57,11.5
PNG.14_1,PNG,Papua New Guinea,Morobe,Province,40.300000000000004,28.0375,31.725,3.2325,11.375
PNG.20_1,PNG,Papua New Guinea,West New Britain,Province,37.96666666666667,30.46666666666667,31.633333333333336,2.766666666666666,11.0
PNG.1_1,PNG,Papua New Guinea,Bougainville,Autonomous Region,31.2,39.6,29.2,3.95,10.0
BRA.15_1,BRA,Brazil,Para?�ba,State,63.906666666666645,12.826666666666663,23.273333333333333,0.6820000000000002,10.333333333333334
COD.4_1,COD,Democratic Republic of the Congo,Haut-Lomami,Province,42.61724137931035,13.565517241379311,43.741379310344826,1.4827586206896552,13.379310344827585
IDN.4_1,IDN,Indonesia,Banten,Province,53.6,15.8,30.6,2.25,14.0
IDN.9_1,IDN,Indonesia,Jawa Barat,Province,47.166666666666664,23.28888888888889,29.56666666666667,2.1933333333333334,12.555555555555555
PNG.19_1,PNG,Papua New Guinea,Southern Highlands,Province,42.76666666666667,28.8,28.400000000000002,2.2733333333333334,10.0
PNG.6_1,PNG,Papua New Guinea,Eastern Highlands,Province,40.2,27.2,32.666666666666664,3.473333333333333,11.666666666666666
PER.13_1,PER,Peru,La Libertad,Region,60.075,16.0625,23.862499999999997,0.91125,10.75
AGO.12_1,AGO,Angola,Lunda Norte,Province,73.55714285714285,8.657142857142857,17.849999999999998,0.75,11.821428571428571
TZA.21_1,TZA,Tanzania,Rukwa,Region,57.63333333333333,15.883333333333333,26.48333333333333,1.0083333333333335,12.833333333333334
TZA.13_1,TZA,Tanzania,Mbeya,Region,65.82000000000001,14.053333333333335,20.14,0.9966666666666667,12.8
TZA.5_1,TZA,Tanzania,Iringa,Region,47.03333333333334,18.266666666666666,34.72222222222222,1.2922222222222222,12.0
IDN.10_1,IDN,Indonesia,Jawa Tengah,Province,43.27142857142858,17.25714285714286,39.528571428571425,1.1928571428571428,14.142857142857142
IDN.11_1,IDN,Indonesia,Jawa Timur,Province,56.58,16.609999999999996,26.830000000000002,0.9870000000000001,13.0
PNG.8_1,PNG,Papua New Guinea,Gulf,Province,48.91111111111111,24.57777777777778,26.58888888888889,2.2277777777777774,12.0
PER.26_1,PER,Peru,Ucayali,Region,50.62666666666665,11.753333333333334,37.52333333333333,1.4549999999999996,13.3
BRA.1_1,BRA,Brazil,Acre,State,53.94883720930232,12.218604651162792,33.718604651162785,1.5295348837209304,13.534883720930232
BRA.12_1,BRA,Brazil,Mato Grosso,State,48.20791666666667,16.751250000000002,35.01250000000001,1.6936666666666667,12.445833333333333
BRA.17_1,BRA,Brazil,Pernambuco,State,68.44,10.408,21.18,0.5820000000000001,11.04
AGO.14_1,AGO,Angola,Malanje,Province,57.18095238095238,14.21904761904762,28.604761904761908,1.0166666666666668,11.80952380952381
PER.2_1,PER,Peru,Ancash,Region,58.900000000000006,16.2,24.9,0.9700000000000001,11.0
BRA.22_1,BRA,Brazil,Rond??nia,State,48.63728813559322,13.83050847457627,37.489830508474576,1.6747457627118645,12.779661016949152
AGO.1_1,AGO,Angola,Bengo,Province,50.65,23.240000000000002,26.169999999999998,1.0150000000000001,10.5
AGO.6_1,AGO,Angola,Cuanza Norte,Province,58.48333333333333,11.183333333333332,30.36666666666667,1.02,12.0
COD.15_1,COD,Democratic Republic of the Congo,Lualaba,Province,38.8375,14.603124999999999,46.5,1.6209375,12.53125
COD.3_1,COD,Democratic Republic of the Congo,Haut-Katanga,Province,49.896875,12.91875,37.121875,1.274375,13.28125
TZA.10_1,TZA,Tanzania,Lindi,Region,58.25,12.39375,29.375,0.8981250000000001,13.0
PNG.2_1,PNG,Papua New Guinea,Central,Province,46.614285714285714,23.614285714285717,29.814285714285713,2.7857142857142856,11.428571428571429
PNG.17_1,PNG,Papua New Guinea,Oro,Province,52.9,21.366666666666664,25.8,2.763333333333333,12.333333333333334
PER.10_1,PER,Peru,Hu?�nuco,Region,61.275,14.774999999999997,23.974999999999994,0.8775000000000001,10.75
AGO.13_1,AGO,Angola,Lunda Sul,Province,70.7,8.333333333333332,21.033333333333335,0.8199999999999998,11.666666666666666
ZMB.4_1,ZMB,Zambia,Luapula,Province,30.269230769230766,20.215384615384615,49.515384615384605,4.913846153846154,11.692307692307692
